path,category
sorted_images/Métaux/Canette/1690797875856-image1690797891458.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690613644400-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Sac en plastique/1695463275766-image1695463269414.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Autre déchet plastique/1695219800834-image1695219790032.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Briquet/1692430039714-image1692430067930.jpg,Plastique/Briquet
sorted_images/Textile/Vêtement/1694887687840-user.jpg,Textile/Vêtement
sorted_images/Métaux/Canette/1698154805726-image1698154826166.jpg,Métaux/Canette
sorted_images/Plastique/Bouchon en plastique/1689771723793-user.jpg,Plastique/Bouchon en plastique
sorted_images/Verre/> 50 morceaux de verre/1697101793540-image1697101738100.jpg,Verre/> 50 morceaux de verre
sorted_images/Papier ou Carton/Ticket/1693394700372-image1693394289868.jpg,Papier ou Carton/Ticket
sorted_images/Métaux/Canette/1697980087120-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1691242431478-image1691242461055.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1693832235752-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1697216238298-image1697216227080.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1697100458250-user.jpg,Plastique/Emballage plastique
sorted_images/Mégots/Mégots/1694241870019-image1694241775795.jpg,Mégots/Mégots
sorted_images/Plastique/Sac en plastique/1693159119375-image1693159138968.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Autre déchet plastique/1697710962882-image1697710985740.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1689846701418-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1692270643293-image1692270673766.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Pile/1697803746060-image1697803759157.jpg,Métaux/Pile
sorted_images/Métaux/Canette/1690814720767-image1690814730462.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1696568221170-user.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Carton/1695989479103-image1695989438913.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Sac en plastique/1696136297677-user.jpg,Plastique/Sac en plastique
sorted_images/Verre/Bouteille en verre/1696699817845-image1696699817902.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Bouteille en plastique/1695833118190-image1695833105382.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1694091456340-image1694091433830.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1693819082071-image1693819036803.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1691911172287-image1691911187681.jpg,Autre déchet papier/carton
sorted_images/Verre/Bouteille en verre/1690607263325-image1690607261225.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Emballage plastique/1696235784460-user.jpg,Plastique/Emballage plastique
sorted_images/Mégots/~ 50 mégots/1694627211654-user.jpg,Mégots/~ 50 mégots
sorted_images/Plastique/Autre déchet plastique/1694869755682-image1694869746941.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1690984773310-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Emballage plastique/1698220800387-image1698220696902.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1694957722058-image1694957703791.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Journaux/1696765786282-user.jpg,Papier ou Carton/Journaux
sorted_images/Métaux/Canette/1696051994959-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1695387301987-image1695387267127.jpg,Autre déchet papier/carton
sorted_images/Métaux/Autre déchet métaux/1690478622531-image1690478638129.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Canette/1698414110656-user.jpg,Métaux/Canette
sorted_images/Verre/Autre déchet verre/1689863722510-image1689863727590.jpg,Verre/Autre déchet verre
sorted_images/Plastique/Carte/1697118391209-image1697118372951.jpg,Plastique/Carte
sorted_images/Plastique/Bouchon en plastique/1696753883380-image1696753857085.jpg,Plastique/Bouchon en plastique
sorted_images/Métaux/Canette/1696855319206-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1694173535213-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1694872046219-image1694872039248.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1691400398014-image1691400400463.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1689930445072-user.jpg,Métaux/Canette
sorted_images/Verre/Bouteille en verre/1698471247196-user.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Autre déchet plastique/1690709923612-image1690709938891.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1694968552107-user.jpg,Plastique/Emballage plastique
sorted_images/Textile/Autre déchet textile/1692340187157-image1692340200060.jpg,Textile/Autre déchet textile
sorted_images/Métaux/Pile/1690978062330-image1690978028963.jpg,Métaux/Pile
sorted_images/Plastique/Bouteille en plastique/1694627238472-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Autre déchet plastique/1695730073202-image1695730051895.jpg,Plastique/Autre déchet plastique
sorted_images/Verre/Bouteille en verre/1696436060915-image1696436072827.jpg,Verre/Bouteille en verre
sorted_images/Mégots/< 10 mégots/1690971226285-user.jpg,Mégots/< 10 mégots
sorted_images/Métaux/Canette/1690477602969-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1694076588838-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1696004320956-image1696004278832.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouteille en plastique/1696092794036-image1696092803353.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Emballage bonbon/1691072522565-image1691072519469.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Plastique/Bouteille en plastique/1697729304934-user.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1689836456179-user.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Carton/1693821150623-user.jpg,Papier ou Carton/Carton
sorted_images/Mégots/~ 400 mégots/1694804691488-image1694804670139.jpg,Mégots/~ 400 mégots
sorted_images/Métaux/Canette/1695059752432-user.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1692210580942-image1692206076014.jpg,Plastique/Bouteille en plastique
sorted_images/Textile/Corde/1696753250484-image1696753250792.jpg,Textile/Corde
sorted_images/Mégots/Mégots/1696176038744-image1696176029762.jpg,Mégots/Mégots
sorted_images/Métaux/Canette/1689693162260-image1689693156026.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1696220591649-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1689843244484-image1689843250020.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/Autre déchet papier ou carton/1692258594498-image1692258495780.jpg,Mégots/Autre déchet papier ou carton
sorted_images/Papier ou Carton/Ticket/1692125389852-user.jpg,Papier ou Carton/Ticket
sorted_images/Plastique/Emballage plastique/1698224794722-image1698224791286.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1696395726489-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1693663950030-image1693663911897.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Autre déchet métaux/1695981312800-user.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1693938841902-image1693938744056.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/Bouteille en verre/1697376463131-user.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Canette/1694851697759-image1694851646466.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1691311249474-image1691311274966.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1694071323584-user.jpg,Plastique/Emballage plastique
sorted_images/Verre/< 10 morceaux de verre/1690310248198-user.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Canette/1692886175940-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1690724473326-user.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1695480586735-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1691916470046-image1691916434736.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1690471056485-image1690471052146.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1697465065943-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1691854961589-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1696167483081-image1696167466588.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouchon en plastique/1695399440500-image1695399392612.jpg,Plastique/Bouchon en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1691569083264-image1691569101243.jpg,Autre déchet papier/carton
sorted_images/Plastique/Bouteille en plastique/1696612469474-image1696612452959.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouchon en plastique/1693761037352-image1693760990994.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Bouteille en plastique/1694090135486-image1694090099173.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694341854523-user.jpg,Autre déchet papier/carton
sorted_images/Plastique/Emballage plastique/1693664267797-image1693664110453.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Carton/1693987833650-image1693987803546.jpg,Papier ou Carton/Carton
sorted_images/Verre/Bouteille en verre/1697978232216-user.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Autre déchet plastique/1694449873093-image1694449819520.jpg,Plastique/Autre déchet plastique
sorted_images/Verre/Bouteille en verre/1697212785054-image1697212734057.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Sac en plastique/1690275636696-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Sac en plastique/1689772253067-user.jpg,Plastique/Sac en plastique
sorted_images/Mégots/< 10 mégots/1691848748736-user.jpg,Mégots/< 10 mégots
sorted_images/Verre/< 10 morceaux de verre/1692781138120-image1692781169219.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Canette/1696404649999-user.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1696174161158-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Bouteille en plastique/1689865953706-image1689865960857.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/< 10 morceaux de verre/1696343508104-user.jpg,Verre/< 10 morceaux de verre
sorted_images/Plastique/Autre déchet plastique/1695244980483-user.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1697884032376-user.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1697550427303-user.jpg,Mégots/Mégots
sorted_images/Métaux/Canette/1694810492810-image1694810464262.jpg,Métaux/Canette
sorted_images/Mégots/~ 25 mégots/1696053178681-image1696053031874.jpg,Mégots/~ 25 mégots
sorted_images/Métaux/Autre déchet métaux/1692117111764-image1692117111049.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Sac en plastique/1696489644858-image1696489572461.jpg,Plastique/Sac en plastique
sorted_images/Métaux/Autre déchet métaux/1694430874960-image1694430793210.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1690294630745-image1690294643241.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1697952169871-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1693470483895-image1693470419572.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1698410219283-image1698410208894.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/Bouteille en verre/1696849662735-image1696849664092.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Récipient liquide/1691652323237-image1691652319776.jpg,Papier ou Carton/Récipient liquide
sorted_images/Plastique/Bouteille en plastique/1693063935629-image1693060355885.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1690812222519-image1690804929661.jpg,Métaux/Canette
sorted_images/Verre/Bouteille en verre/1695836093979-image1695836103250.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Canette/1697962788247-image1697962788539.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1689937480247-image1689937480691.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1693567362069-image1693567331090.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1690443826134-user.jpg,Autre déchet papier/carton
sorted_images/Plastique/Gobelet en plastique/1693904973088-image1693904911651.jpg,Plastique/Gobelet en plastique
sorted_images/Métaux/Canette/1693144938829-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1691617345165-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1694155198729-image1694155149642.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouchon en plastique/1696244629716-image1696244586055.jpg,Plastique/Bouchon en plastique
sorted_images/Papier ou Carton/Carton/1695487532852-image1695487525281.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Bouteille en plastique/1697957390501-user.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1690220228990-image1690220170874.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690878611721-image1690878483843.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1695658816124-image1695658806928.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1692172255215-image1692172280636.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouteille en plastique/1691492281887-image1691492279295.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1689880894644-image1689880765652.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1696749229436-user.jpg,Métaux/Canette
sorted_images/Textile/Corde/1692535475721-user.jpg,Textile/Corde
sorted_images/Plastique/Bouteille en plastique/1697472584875-image1697472557632.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Autre déchet plastique/1692212245586-image1692212279979.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1691172489465-image1691172496507.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouchon en plastique/1691783609729-image1691500367088.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Autre déchet plastique/1693841110086-image1693841058776.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/Mégots/1689955017868-image1689955009642.jpg,Mégots/Mégots
sorted_images/Métaux/Canette/1691518710940-image1691518733077.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1698328687226-image1698328708899.jpg,Métaux/Canette
sorted_images/Métaux/Cable/1691311299606-image1691311313256.jpg,Métaux/Cable
sorted_images/Papier ou Carton/Autre déchet papier/carton/1695910299131-user.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1696511810670-image1696511804226.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1697906822037-image1697906790166.jpg,Plastique/Emballage plastique
sorted_images/Verre/Bouteille en verre/1690290843550-user.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Autre déchet métaux/1697718339291-image1697718279900.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1694503676265-user.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Carton/1697782682896-image1697782682680.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Emballage plastique/1694788093795-image1694788024103.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1694502505043-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Récipient liquide/1692850858807-image1692850896184.jpg,Papier ou Carton/Récipient liquide
sorted_images/Mégots/~ 75 mégots/1696246983413-image1696246926020.jpg,Mégots/~ 75 mégots
sorted_images/Mégots/~ 25 mégots/1690799620392-image1690799607144.jpg,Mégots/~ 25 mégots
sorted_images/Papier ou Carton/Carton/1693650336911-user.jpg,Papier ou Carton/Carton
sorted_images/Métaux/Canette/1697616146061-image1697616147461.jpg,Métaux/Canette
sorted_images/Plastique/Sac en plastique/1693824413603-image1693824382500.jpg,Plastique/Sac en plastique
sorted_images/Métaux/Autre déchet métaux/1689933091904-user.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1692855434144-image1692855432608.jpg,Plastique/Emballage plastique
sorted_images/Verre/Bouteille en verre/1689937587168-user.jpg,Verre/Bouteille en verre
sorted_images/Mégots/Mégots/1695655135123-image1695655126086.jpg,Mégots/Mégots
sorted_images/Plastique/Bouteille en plastique/1695543123482-image1695543078808.jpg,Plastique/Bouteille en plastique
sorted_images/Mégots/Mégots/1689744696910-image1689744707509.jpg,Mégots/Mégots
sorted_images/Plastique/Bouteille en plastique/1697890439714-image1697890458983.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1696855581634-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Emballage plastique/1696088992549-image1696088982431.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1695893616553-image1695893512804.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1693556562862-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1695102200431-image1695102155521.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1690308932693-user.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Récipient liquide/1695484574094-image1695484574166.jpg,Papier ou Carton/Récipient liquide
sorted_images/Plastique/Emballage plastique/1693727914770-image1693727853100.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1695286626523-image1695285949332.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1697346000243-user.jpg,Métaux/Canette
sorted_images/Textile/Masque/1690968942303-image1690968955491.jpg,Textile/Masque
sorted_images/Métaux/Canette/1694536479964-image1694536434983.jpg,Métaux/Canette
sorted_images/Mégots/~ 25 mégots/1697547565638-image1697544863792.jpg,Mégots/~ 25 mégots
